Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	gsu02040:Flagellar assembly	15	2.912621359223301	1.4819646094454858E-5	FLHA, FLIS, FLGL, FLGK, FLIM, GSU1013, FLGM, FLIK, FLIJ, FLGD, FLGB, FLGA, FLGH, FLIF, FLID	126	33	979	3.5317460317460316	9.480147278442264E-4	9.480147278442264E-4	0.015054303141115444
GOTERM_CC_DIRECT	GO:0005622~intracellular	57	11.067961165048544	3.160251790945281E-5	GSU3152, GSU0537, GSU1630, GSU2815, GSU1039, GSU1038, GSU1249, CHEY40H-3, CHEY40H-2, FLHF, GSU3350, GSU3252, GSU0700, GSU0681, GSU0405, GSU1250, GSU0452, GSU0356, GSU2062, GSU0789, GSU1120, GSU1319, GSU2506, GSU2313, GSU2314, GSU1119, GSU1653, GSU0842, GSU0718, GSU0841, GSU2388, KDPD, GSU1320, KDPE, GSU3138, GSU1415, GSU1989, PILS, GSU1414, GSU2288, GSU2444, GSU3330, GSU1117, GSU1148, GSU0373, FUSA-2, CHEY44H, GSU1990, GSU0372, GSU2044, GSU2042, GSU2041, GSU0280, GSU3437, GSU0144, GSU0283, GSU0281	255	216	1594	1.6495642701525055	0.0012948846209447362	0.0012948846209447362	0.029079043028235052
UP_KEYWORDS	Cell projection	17	3.300970873786408	4.513344447774624E-5	FLHA, FLIS, FLGL, FLGK, FLGJ, FLIM, FLGN, FLGM, FLIK, FLHG, FLIJ, FLGD, FLHF, FLGB, FLGA, FLIF, FLID	514	38	3430	2.9853573622772887	0.0062540518548303	0.0062540518548303	0.05317307511644165
UP_KEYWORDS	Cilium	17	3.300970873786408	4.513344447774624E-5	FLHA, FLIS, FLGL, FLGK, FLGJ, FLIM, FLGN, FLGM, FLIK, FLHG, FLIJ, FLGD, FLHF, FLGB, FLGA, FLIF, FLID	514	38	3430	2.9853573622772887	0.0062540518548303	0.0062540518548303	0.05317307511644165
UP_KEYWORDS	Flagellum	17	3.300970873786408	4.513344447774624E-5	FLHA, FLIS, FLGL, FLGK, FLGJ, FLIM, FLGN, FLGM, FLIK, FLHG, FLIJ, FLGD, FLHF, FLGB, FLGA, FLIF, FLID	514	38	3430	2.9853573622772887	0.0062540518548303	0.0062540518548303	0.05317307511644165
GOTERM_BP_DIRECT	GO:0000160~phosphorelay signal transduction system	47	9.12621359223301	5.0770469570466566E-5	GSU1119, GSU1653, GSU1630, GSU0842, GSU0718, GSU0841, GSU2815, KDPD, GSU1320, KDPE, GSU1415, GSU3138, GSU1039, GSU1038, GSU1989, PILS, GSU1414, GSU2288, GSU2444, CHEY40H-3, CHEY40H-2, GSU3252, GSU1117, GSU0700, GSU1148, GSU0373, GSU0405, GSU1250, GSU0452, CHEY44H, GSU1990, GSU0372, GSU2062, GSU0356, GSU2042, GSU2041, GSU0789, GSU0280, GSU3437, GSU1120, GSU1319, GSU0144, GSU0283, GSU0281, GSU2506, GSU2313, GSU2314	329	169	2078	1.7565511411665258	0.010806343689664821	0.010806343689664821	0.06432100231928972
GOTERM_MF_DIRECT	GO:0000155~phosphorelay sensor kinase activity	34	6.601941747572816	8.471383262102043E-5	GSU3152, GSU1119, GSU0537, GSU1630, GSU0718, GSU0842, GSU2388, GSU2815, KDPD, GSU3138, GSU1038, GSU1249, GSU1414, PILS, GSU2288, GSU2444, GSU3350, GSU3252, CHEA44H, GSU0700, GSU0681, GSU0373, GSU1148, GSU0452, GSU1990, GSU2044, GSU0356, GSU2042, GSU3437, GSU1319, GSU0144, GSU0283, GSU0281, GSU2314	365	111	2334	1.958681969640874	0.02087370221234386	0.02087370221234386	0.10992618364400464
GOTERM_CC_DIRECT	GO:0031514~motile cilium	17	3.300970873786408	8.836358673394148E-5	FLHA, FLIS, FLGL, FLGK, FLGJ, FLIM, FLGN, FLGM, FLIK, FLHG, FLIJ, FLGD, FLHF, FLGB, FLGA, FLIF, FLID	255	38	1594	2.7964912280701753	0.003616511743590456	0.001809893729451173	0.0812887905061177
INTERPRO	IPR003661:Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain	29	5.631067961165048	1.0054225926025091E-4	GSU1119, GSU1630, GSU0718, GSU0842, GSU2388, GSU2815, KDPD, GSU3138, GSU1038, GSU1249, GSU1414, PILS, GSU2288, GSU2444, GSU3350, GSU3252, CHEA44H, GSU0373, GSU1148, GSU0452, GSU1990, GSU0356, GSU2042, GSU3437, GSU1319, GSU0283, GSU0144, GSU0281, GSU2314	464	88	2944	2.090909090909091	0.08062165977048863	0.08062165977048863	0.15511246035707638
INTERPRO	IPR004358:Signal transduction histidine kinase-related protein, C-terminal	30	5.825242718446602	1.1357502801318317E-4	GSU1119, GSU1630, GSU0718, GSU0842, GSU2388, GSU2815, KDPD, GSU3138, GSU1038, GSU1249, GSU1414, PILS, GSU2288, GSU2444, GSU3350, GSU3252, CHEA44H, GSU0681, GSU0373, GSU1148, GSU0452, GSU1990, GSU0356, GSU2042, GSU3437, GSU1319, GSU0283, GSU0144, GSU0281, GSU2314	464	93	2944	2.046718576195773	0.09058533866059593	0.04636764875587185	0.17520239743090693
